,µm,µm,Ff/µm,Ff/µm,Ff/µm,Ff/µm
,Width,Space,Ctot,Cc,Carea,Cfrg
M1,0.1400,0.1120,0.3774,0.1570,0.0354,0.0139
M1,0.1400,0.1400,0.3138,0.1216,0.0354,0.0174
M1,0.1400,0.4200,0.1871,0.0347,0.0354,0.0411
M1,0.1400,0.7000,0.1731,0.0136,0.0354,0.0554
M1,0.1400,0.9800,0.1709,0.0054,0.0354,0.0623
M1,0.1400,1.2600,0.1706,0.0022,0.0354,0.0654
M1,0.1400,1.5400,0.1705,0.0009,0.0354,0.0667
M1,0.1400,1.8200,0.1705,0.0004,0.0354,0.0672
M1,0.4200,0.1120,0.4533,0.1589,0.1063,0.0145
M1,0.4200,0.1400,0.3861,0.1232,0.1063,0.0166
M1,0.4200,0.4200,0.2600,0.0350,0.1063,0.0418
M1,0.4200,0.7000,0.2429,0.0133,0.1063,0.0550
M1,0.4200,0.9800,0.2435,0.0055,0.1063,0.0632
M1,0.4200,1.2600,0.2404,0.0022,0.1063,0.0649
M1,0.4200,1.5400,0.2431,0.0009,0.1063,0.0675
M1,0.4200,1.8200,0.2404,0.0004,0.1063,0.0667
M1,1.0000,0.1120,0.5838,0.1450,0.2531,0.0132
M1,1.0000,0.1400,0.5321,0.1232,0.2531,0.0161
M1,1.0000,0.4200,0.4025,0.0336,0.2531,0.0404
M1,1.0000,0.7000,0.3888,0.0133,0.2531,0.0545
M1,1.0000,0.9800,0.3866,0.0055,0.2531,0.0613
M1,1.0000,1.2600,0.3863,0.0023,0.2531,0.0644
M1,1.0000,1.5400,0.3862,0.0009,0.2531,0.0657
M1,1.0000,1.8200,0.3862,0.0004,0.2531,0.0662
M1,9.0000,0.1120,2.5991,0.1589,2.2776,0.0017
M1,9.0000,0.1400,2.5319,0.1233,2.2776,0.0037
M1,9.0000,0.4200,2.4057,0.0350,2.2776,0.0290
M1,9.0000,0.7000,2.3886,0.0133,2.2776,0.0422
M1,9.0000,0.9800,2.3892,0.0055,2.2776,0.0503
M1,9.0000,1.2600,2.3861,0.0022,2.2776,0.0521
M1,9.0000,1.5400,2.3860,0.0009,2.2776,0.0533
M1,9.0000,1.8200,2.3860,0.0004,2.2776,0.0539
M2,0.1400,0.1120,0.3703,0.1544,0.0331,0.0140
M2,0.1400,0.1400,0.3082,0.1200,0.0331,0.0174
M2,0.1400,0.4200,0.1833,0.0351,0.0331,0.0399
M2,0.1400,0.7000,0.1689,0.0143,0.0331,0.0538
M2,0.1400,0.9800,0.1664,0.0059,0.0331,0.0607
M2,0.1400,1.2600,0.1660,0.0026,0.0331,0.0639
M2,0.1400,1.5400,0.1659,0.0011,0.0331,0.0654
M2,0.1400,1.8200,0.1659,0.0005,0.0331,0.0660
M2,0.4200,0.1120,0.4443,0.1568,0.0992,0.0155
M2,0.4200,0.1400,0.3786,0.1220,0.0992,0.0175
M2,0.4200,0.4200,0.2537,0.0356,0.0992,0.0416
M2,0.4200,0.7000,0.2361,0.0140,0.0992,0.0544
M2,0.4200,0.9800,0.2364,0.0060,0.0992,0.0626
M2,0.4200,1.2600,0.2333,0.0025,0.0992,0.0645
M2,0.4200,1.5400,0.2359,0.0011,0.0992,0.0673
M2,0.4200,1.8200,0.2332,0.0005,0.0992,0.0666
M2,1.0000,0.1120,0.5696,0.1434,0.2361,0.0163
M2,1.0000,0.1400,0.5189,0.1221,0.2361,0.0190
M2,1.0000,0.4200,0.3905,0.0343,0.2361,0.0421
M2,1.0000,0.7000,0.3762,0.0140,0.2361,0.0559
M2,1.0000,0.9800,0.3738,0.0060,0.2361,0.0628
M2,1.0000,1.2600,0.3733,0.0026,0.2361,0.0660
M2,1.0000,1.5400,0.3732,0.0011,0.2361,0.0674
M2,1.0000,1.8200,0.3732,0.0005,0.2361,0.0681
M2,9.0000,0.1120,2.5033,0.1569,2.1252,0.0318
M2,9.0000,0.1400,2.4375,0.1222,2.1252,0.0337
M2,9.0000,0.4200,2.3124,0.0356,2.1252,0.0578
M2,9.0000,0.7000,2.2947,0.0141,2.1252,0.0707
M2,9.0000,0.9800,2.2950,0.0060,2.1252,0.0789
M2,9.0000,1.2600,2.2919,0.0025,2.1252,0.0808
M2,9.0000,1.5400,2.2918,0.0011,2.1252,0.0822
M2,9.0000,1.8200,2.2918,0.0005,2.1252,0.0828
M3,0.3000,0.2400,0.3871,0.1460,0.0545,0.0202
M3,0.3000,0.3000,0.3351,0.1134,0.0545,0.0246
M3,0.3000,0.9000,0.2197,0.0266,0.0545,0.0560
M3,0.3000,1.5000,0.2135,0.0083,0.0545,0.0712
M3,0.3000,2.1000,0.2106,0.0026,0.0545,0.0755
M3,0.3000,2.7000,0.2126,0.0008,0.0545,0.0782
M3,0.3000,3.3000,0.2106,0.0003,0.0545,0.0778
M3,0.3000,3.9000,0.2126,0.0001,0.0545,0.0790
M3,0.9000,0.2400,0.4971,0.1465,0.1635,0.0202
M3,0.9000,0.3000,0.4506,0.1183,0.1635,0.0252
M3,0.9000,0.9000,0.3290,0.0267,0.1635,0.0560
M3,0.9000,1.5000,0.3228,0.0083,0.1635,0.0713
M3,0.9000,2.1000,0.3219,0.0026,0.1635,0.0766
M3,0.9000,2.7000,0.3218,0.0008,0.1635,0.0783
M3,0.9000,3.3000,0.3218,0.0003,0.1635,0.0789
M3,0.9000,3.9000,0.3218,0.0001,0.1635,0.0791
M3,2.0000,0.2400,0.7070,0.1536,0.3633,0.0217
M3,2.0000,0.3000,0.6522,0.1183,0.3633,0.0261
M3,2.0000,0.9000,0.5329,0.0273,0.3633,0.0578
M3,2.0000,1.5000,0.5244,0.0083,0.3633,0.0722
M3,2.0000,2.1000,0.5235,0.0027,0.3633,0.0775
